flight_iata,Aircraft_Model,Aircraft_isTurboProp,Aircraft_isWidebody
TR734,Boeing 787-8,False,True
EK385,Airbus A380-800 Passenger,False,True
7C2204,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
TG648,Airbus A330-300,False,True
TR898,Boeing 787-9,False,True
JL718,None,None,None
SQ255,Airbus A350-900,False,True
LJ12,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
OZ742,Airbus A380-800 Passenger,False,True
TG924,Airbus A350-900,False,True
SQ231,Airbus A380-800 Passenger,False,True
KL844,None,None,None
7C4056,Boeing 737-800 (winglets) Passenger/BBJ2,False,False
SQ22,Airbus A350-900,False,True
TR18,Boeing 787-9,False,True
TG970,Boeing 777-300ER,False,True
KL804,None,None,None
TG950,Boeing 777-300ER,False,True
XJ382,Airbus A330-300,False,True
XJ600,Airbus A330-300,False,True
EK353,Airbus A380-800 Passenger,False,True
TG960,Airbus A350-900,False,True
SQ225,Boeing 787-10,False,True
SQ237,Boeing 777-300ER,False,True
SQ328,Airbus A350-900,False,True
RJ183,Boeing 787,False,True
SQ352,Airbus A350-900,False,True
PR510,Airbus A321,False,False
TG910,Boeing 777-300ER,False,True
SQ336,Boeing 777-300ER,False,True
SQ608,Boeing 787-10,False,True
TG644,Airbus A350-900,False,True
TG930,Boeing 777-300ER,False,True
AK79,Airbus A320,False,False
LX177,Boeing 777-300ER,False,True
TG622,Boeing 777-300ER,False,True
EK363,Airbus A380-800 Passenger,False,True
KE652,Boeing 777-300ER,False,True
LY82,Boeing 777-200 / 200ER,False,True
TG642,Boeing 777-300ER,False,True
TG670,Boeing 787-8,False,True
KE672,Airbus A330-200,False,True
MH2,Airbus A350-900,False,True
LH779,Boeing 747-8 Passenger,False,True
LH791,Airbus A350-900,False,True
QF1,Airbus A380-800 Passenger,False,True
SQ26,Airbus A380-800 Passenger,False,True
SQ324,Airbus A350-900,False,True
SQ638,Boeing 787-10,False,True
D7550,None,None,None
TK61,Boeing 777-300ER,False,True
ZG52,Boeing 787-8,False,True
MH66,Airbus A330-300,False,True
SQ322,Airbus A380-800 Passenger,False,True
SQ378,Airbus A350-900,False,True
TG920,Boeing 777-300ER,False,True
TW178,None,None,None
QZ207,None,None,None
AK722,Airbus A320,False,False
SQ279,Airbus A350-900,False,True
LH773,Airbus A350-900,False,True
